Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8306,18,190,336.34059657142024,5.8968099765479565,2991.756725125015,11762.432699253552,2.9137539209698797,0.00631441976612784,190,330,470,590,880,1100,1600,1800,2700,3000,3000
GET,/api/cart,9920,15,140,285.3148579506641,8.705544983968139,4271.127060987055,24.10735887096774,3.479946893332676,0.0052620164717732,140,260,370,480,830,1100,1400,1800,2700,4300,4300
POST,/api/cart,34396,44,120,286.22234126690677,11.203967034816742,3643.475861987099,118.37228166065822,12.066154570874065,0.015435248317201385,120,270,400,510,810,1000,1400,1600,2500,3400,3600
POST,/api/checkout,12404,45,380,558.1449005418385,6.276455009356141,4953.765838174149,715.8955981941309,4.351336821058318,0.015786049415319598,380,630,790,910,1300,1600,2000,2400,3100,4300,5000
GET,/api/data/,720,2,270,447.0167731132177,12.512349057942629,4909.266787813976,201.4361111111111,0.25257679064511357,0.0007016021962364266,270,440,650,760,1100,1500,2100,2300,4900,4900,4900
GET,/api/data/?contextKeys=accessories,678,1,240,435.55637653422565,13.584780041128397,3115.5420942232013,302.69321533923306,0.23784314452414862,0.0003508010981182133,240,460,640,750,1100,1500,2000,2300,3100,3100,3100
GET,/api/data/?contextKeys=assembly,687,2,250,450.84163461394303,13.036009855568409,4114.904969930649,88.76419213973799,0.24100035440721254,0.0007016021962364266,250,450,640,770,1100,1400,2200,2900,4100,4100,4100
GET,/api/data/?contextKeys=binoculars,700,3,280,465.99967422861874,13.001324143260717,4094.506246969104,82.82,0.24556076868274931,0.00105240329435464,280,480,690,830,1200,1600,2000,2400,4100,4100,4100
GET,/api/data/?contextKeys=books,694,2,250,434.6334643957879,13.14517599530518,3303.768882062286,201.9092219020173,0.24345596209404002,0.0007016021962364266,250,460,610,760,1000,1500,2100,2400,3300,3300,3300
GET,/api/data/?contextKeys=telescopes,685,4,250,433.7089084738009,12.893639970570803,3796.281608985737,105.63211678832117,0.2402987522109761,0.0014032043924728532,250,420,570,680,1200,1600,2000,2500,3800,3800,3800
GET,/api/data/?contextKeys=travel,643,2,270,444.6525743968414,12.418416095897555,3742.1824419870973,128.89424572317262,0.22556510609001115,0.0007016021962364266,270,460,630,750,1100,1500,1900,2400,3700,3700,3700
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,776,0,340,1556.8064787750943,18.310598097741604,9798.51434007287,132.0,0.27222165213973354,0.0,340,670,950,1300,8200,8700,9100,9300,9800,9800,9800
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,833,0,350,1376.9104047706362,17.695191083475947,10243.160778889433,132.0,0.2922173147324717,0.0,350,640,860,1100,8200,8600,9100,9300,10000,10000,10000
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,779,0,300,1209.0572067542391,18.945046002045274,10702.63842609711,132.0,0.27327405543408817,0.0,300,580,810,930,2600,8500,9000,9300,11000,11000,11000
POST,/api/product-ask-ai-assistant/66VCHSJNUP,828,1,320,1332.7277731248807,17.964926082640886,10578.923356952146,131.95531400966183,0.29046330924188063,0.0003508010981182133,330,660,860,1100,8100,8500,8800,9000,11000,11000,11000
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,836,0,330,1282.3114128583936,17.459656111896038,10252.556934952736,132.0,0.29326971802682633,0.0,340,650,870,1100,8100,8400,8900,9200,10000,10000,10000
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,802,0,380,1575.2359774922302,17.913389950990677,10654.514648020267,132.0,0.2813424806908071,0.0,380,730,960,1300,8200,8600,9200,9400,11000,11000,11000
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,823,3,320,1467.549171091656,18.177358899265528,10537.92233299464,131.865127582017,0.28870930375128956,0.00105240329435464,320,650,910,1100,8200,8600,9100,9400,11000,11000,11000
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,742,3,350,1462.236909442418,18.112374935299158,10217.702770838514,131.85040431266847,0.2602944148037143,0.00105240329435464,350,700,880,1100,8200,8600,8900,9200,10000,10000,10000
POST,/api/product-ask-ai-assistant/LS4PSXUNUM,869,1,350,1483.2158918689156,18.62672995775938,10238.563653081656,131.95742232451093,0.3048461542647274,0.0003508010981182133,350,710,960,1100,8200,8600,9000,9300,10000,10000,10000
POST,/api/product-ask-ai-assistant/OLJCESPC7Z,880,2,330,1296.5595340009631,20.450128009542823,10460.834485013038,131.91590909090908,0.3087049663440277,0.0007016021962364266,330,660,850,1000,8100,8500,8800,9100,10000,10000,10000
GET,/api/product-reviews/0PUK6V6EV0,497,1,220,355.4593786495125,12.718413025140762,2531.0659729875624,986.2032193158954,0.17434814576475202,0.0003508010981182133,220,360,540,650,920,1100,1600,2000,2500,2500,2500
GET,/api/product-reviews/1YMWWN1N4O,444,0,210,381.01121289907275,12.17751787044108,3019.8263919446617,1023.0,0.1557556875644867,0.0,210,360,540,690,1100,1300,1700,2200,3000,3000,3000
GET,/api/product-reviews/2ZYFJ3GM2N,511,0,200,344.6245304306098,12.312679085880518,2467.92702190578,999.0,0.179259361138407,0.0,200,350,490,610,850,1200,1800,1900,2500,2500,2500
GET,/api/product-reviews/66VCHSJNUP,474,1,210,370.5325257568522,12.645598035305738,2774.6659808326513,995.0970464135021,0.1662797205080331,0.0003508010981182133,210,370,570,710,940,1100,1800,2000,2800,2800,2800
GET,/api/product-reviews/6E92ZMYYFZ,466,0,280,442.9930959840189,12.495505157858133,2848.291999893263,1026.0,0.1634733117230874,0.0,280,500,700,820,1100,1300,1800,2200,2800,2800,2800
GET,/api/product-reviews/9SIQT8TOJO,471,1,190,360.5455173112278,12.108504073694348,2713.1665530614555,1008.0573248407643,0.16522731721367848,0.0003508010981182133,190,390,580,690,940,1200,1500,1800,2700,2700,2700
GET,/api/product-reviews/HQTGWGPNH4,492,0,290,449.4159401870499,12.703536078333855,2774.368532001972,1031.0,0.17259414027416095,0.0,290,520,730,820,1100,1400,1700,2200,2800,2800,2800
GET,/api/product-reviews/L9ECAV7KIM,454,1,260,414.16996858741203,12.894639046862721,2984.0471940115094,941.1321585903083,0.15926369854566885,0.0003508010981182133,260,440,650,760,1000,1300,1900,2100,3000,3000,3000
GET,/api/product-reviews/LS4PSXUNUM,492,0,190,345.9288294136532,12.839391129091382,2725.573060102761,1010.0,0.17259414027416095,0.0,190,350,460,600,920,1200,1700,2000,2700,2700,2700
GET,/api/product-reviews/OLJCESPC7Z,481,1,160,330.6151315116802,12.335737934336066,2220.3850171063095,1013.0873180873181,0.1687353281948606,0.0003508010981182133,160,340,490,670,900,1200,1600,1800,2200,2200,2200
GET,/api/products/0PUK6V6EV0,4586,3,130,280.19561779065316,9.772294200956821,3105.8346370700747,420.7867422590493,1.6087738359701262,0.00105240329435464,130,250,350,450,790,1100,1500,1800,2600,3100,3100
GET,/api/products/1YMWWN1N4O,4420,4,130,278.6396712124268,9.15450300090015,2885.9822989907116,887.2823529411764,1.5505408536825027,0.0014032043924728532,130,250,360,460,800,1000,1400,1700,2600,2900,2900
GET,/api/products/2ZYFJ3GM2N,4437,6,130,277.187894472396,9.417212102562189,3037.4711628537625,555.3766058147397,1.5565044723505124,0.00210480658870928,130,250,360,470,810,1000,1400,1700,2500,3000,3000
GET,/api/products/66VCHSJNUP,4455,8,120,266.47206859450944,9.826299035921693,2851.711579132825,493.2835016835017,1.5628188921166404,0.0028064087849457063,120,240,350,450,770,990,1400,1600,2400,2900,2900
GET,/api/products/6E92ZMYYFZ,4322,4,130,270.6090592941802,9.34806908480823,2981.8004169501364,474.6483109671448,1.5161623460669178,0.0014032043924728532,130,250,340,450,770,1000,1400,1700,2300,3000,3000
GET,/api/products/9SIQT8TOJO,4451,3,120,275.08175211194447,10.00465196557343,2785.1782171055675,777.5396540103347,1.5614156877241674,0.00105240329435464,120,250,350,460,790,1000,1400,1700,2600,2800,2800
GET,/api/products/HQTGWGPNH4,4370,4,130,275.6736570145526,9.40713589079678,3074.6672570239753,738.4105263157895,1.5330007987765921,0.0014032043924728532,130,250,360,460,780,1000,1400,1700,2700,3100,3100
GET,/api/products/L9ECAV7KIM,4391,4,140,283.5873663050562,9.459316032007337,2999.9696710146964,734.4169892962879,1.5403676218370745,0.0014032043924728532,140,250,370,470,820,1100,1500,1700,2300,3000,3000
GET,/api/products/LS4PSXUNUM,4415,4,130,273.65100255725423,9.260272141546011,3136.1018870957196,528.6067950169876,1.5487868481919118,0.0014032043924728532,130,250,350,460,790,1000,1400,1600,2600,3100,3100
GET,/api/products/OLJCESPC7Z,4362,4,140,297.28871717386534,12.427478097379208,3481.6290689632297,505.62310866574967,1.5301943899916464,0.0014032043924728532,140,270,400,510,840,1100,1500,1700,2500,3500,3500
GET,/api/products?currencyCode=USD,6671,11,210,385.98885177826617,9.742273017764091,3400.8869230747223,6122.04542047669,2.340194125546601,0.0038588120793003463,210,420,610,730,1000,1300,1700,2000,2900,3400,3400
GET,/api/recommendations?productIds=0PUK6V6EV0,707,0,310,525.4643470328169,21.897385828197002,3895.2681510709226,2529.4342291371995,0.2480163763695768,0.0,310,600,810,920,1300,1700,2000,2400,3900,3900,3900
GET,/api/recommendations?productIds=1YMWWN1N4O,683,0,370,528.748096412765,21.632628981024027,3116.3015000056475,2338.291361639824,0.2395971500147397,0.0,370,630,800,920,1300,1600,2000,2500,3100,3100,3100
GET,/api/recommendations?productIds=2ZYFJ3GM2N,671,1,370,544.1906938454949,21.017831983044744,3477.1965090185404,2475.387481371088,0.23538753683732114,0.0003508010981182133,370,660,840,950,1300,1600,2100,2500,3500,3500,3500
GET,/api/recommendations?productIds=66VCHSJNUP,631,0,370,529.0570015112814,21.695053903385997,3841.7662200517952,2495.470681458003,0.2213554929125926,0.0,370,630,810,920,1300,1600,1900,2200,3800,3800,3800
GET,/api/recommendations?productIds=6E92ZMYYFZ,677,0,260,482.4243036134545,20.840759156271815,3006.3685628119856,2499.333825701625,0.2374923434260304,0.0,260,560,780,920,1300,1500,1900,2100,3000,3000,3000
GET,/api/recommendations?productIds=9SIQT8TOJO,642,1,350,526.4903042223189,20.13627113774419,3055.2089649718255,2381.3520249221183,0.22521430499189293,0.0003508010981182133,350,630,850,960,1300,1600,2000,2100,3100,3100,3100
GET,/api/recommendations?productIds=HQTGWGPNH4,676,0,300,505.98262304635773,20.899130031466484,3945.125169120729,2388.2455621301774,0.2371415423279122,0.0,300,620,790,930,1200,1700,2000,2400,3900,3900,3900
GET,/api/recommendations?productIds=L9ECAV7KIM,624,2,350,549.3279691984824,20.10869001969695,3636.114282067865,2391.2580128205127,0.2188998852257651,0.0007016021962364266,350,660,860,940,1300,1600,2400,2800,3600,3600,3600
GET,/api/recommendations?productIds=LS4PSXUNUM,642,0,360,565.3851725435975,20.919252885505557,3301.1455500964075,2494.1806853582552,0.22521430499189293,0.0,360,700,870,1000,1400,1700,2100,2400,3300,3300,3300
GET,/api/recommendations?productIds=OLJCESPC7Z,645,0,330,546.5789530029189,20.088216057047248,3222.802639938891,2505.508527131783,0.2262667082862476,0.0,330,670,890,990,1400,1800,2100,2300,3200,3200,3200
,Aggregated,140261,212,180,400.3561137348003,5.8968099765479565,10702.63842609711,1436.9816342390259,49.20371282315872,0.07436983280106121,180,340,500,640,950,1300,1800,2400,9100,9800,11000
